Date,Open,High,Low,Close,Adj Close,Volume
2020-04-29,278.450012,285.000000,276.260010,283.690002,277.440460,8505000
2020-04-30,278.429993,281.630005,273.410004,274.970001,268.912628,5898900
2020-05-01,268.700012,273.989990,267.209991,268.739990,262.819885,5067800
2020-05-04,265.500000,270.070007,263.010010,269.260010,263.328430,3747100
2020-05-05,276.839996,277.850006,273.299988,273.980011,267.944458,3926200
2020-05-06,276.959991,276.959991,271.549988,272.440002,266.438293,3261900
2020-05-07,277.809998,282.450012,277.239990,278.470001,272.335449,4371400
2020-05-08,283.399994,283.420013,279.500000,282.440002,276.218018,3215400
2020-05-11,279.500000,282.809998,277.630005,281.230011,275.034729,4056900
2020-05-12,280.450012,282.329987,272.109985,272.109985,266.115601,4031400
2020-05-13,272.299988,276.070007,264.190002,269.160004,263.230621,4802100
2020-05-14,270.200012,277.559998,263.959991,277.309998,271.201111,6294200
2020-05-15,276.040009,279.140015,273.290009,278.940002,272.795135,3813300
2020-05-18,285.459991,292.089996,285.000000,289.899994,283.513763,6037800
2020-05-19,289.170013,297.820007,287.489990,290.730011,284.325439,5211800
2020-05-20,295.750000,301.149994,295.390015,298.799988,292.217651,4592200
2020-05-21,299.369995,299.929993,292.750000,294.260010,287.777710,3944100
2020-05-22,295.059998,296.799988,293.010010,294.910004,288.413269,2897000
2020-05-26,304.619995,305.000000,301.940002,303.329987,296.647827,5246900
2020-05-27,304.000000,304.730011,292.119995,299.769989,293.166229,5147900
2020-05-28,300.980011,310.000000,298.839996,302.299988,295.640533,4520800
2020-05-29,302.000000,304.429993,298.869995,300.890015,294.261566,4930100
2020-06-01,300.799988,303.059998,297.899994,301.399994,294.760345,2841800
2020-06-02,304.989990,306.109985,301.690002,303.589996,296.902100,4131300
2020-06-03,305.480011,308.109985,302.209991,307.070007,300.305481,3429700
2020-06-04,305.440002,306.619995,299.339996,301.369995,294.731049,4147700
2020-06-05,306.809998,312.179993,305.649994,311.880005,305.009460,5058200
2020-06-08,311.059998,313.579987,307.049988,310.410004,303.571869,3724300
2020-06-09,309.779999,313.470001,308.200012,311.489990,304.628021,3314800
2020-06-10,312.390015,316.059998,310.290009,313.149994,306.251526,4089000
2020-06-11,305.010010,306.489990,291.059998,291.250000,284.834015,6505300
2020-06-12,298.790009,299.989990,290.890015,297.790009,291.229889,4512200
2020-06-15,290.000000,298.920013,288.750000,297.170013,290.623627,5932900
2020-06-16,305.910004,309.089996,300.109985,304.480011,297.772552,4013100
2020-06-17,305.000000,307.480011,303.079987,303.760010,297.068359,2566400
2020-06-18,301.829987,305.100006,300.500000,304.850006,298.134430,2776600
2020-06-19,309.500000,309.500000,296.500000,296.500000,289.968262,4533500
2020-06-22,299.600006,304.950012,297.730011,304.440002,297.733398,3489200
2020-06-23,307.029999,310.429993,304.420013,306.880005,300.119629,3801500
2020-06-24,305.000000,305.519989,293.059998,294.010010,287.533234,5086000
2020-06-25,294.160004,298.390015,290.670013,298.010010,291.445007,3294800
2020-06-26,296.880005,298.109985,289.170013,289.339996,282.966095,4922500
2020-06-29,291.339996,293.149994,285.149994,292.929993,286.476929,3642200
2020-06-30,293.089996,296.600006,291.010010,295.700012,289.185913,4283500
2020-07-01,295.959991,303.269989,295.119995,301.170013,294.535492,3801300
2020-07-02,304.329987,306.890015,301.309998,302.420013,295.757843,3290100
2020-07-06,306.649994,307.320007,303.170013,305.570007,298.838440,3013300
2020-07-07,303.190002,307.790009,299.399994,299.910004,293.303131,3633100
2020-07-08,300.910004,301.540009,297.399994,300.149994,293.929901,4115000
2020-07-09,299.619995,300.720001,290.559998,294.589996,288.485138,5042800
2020-07-10,294.000000,296.959991,291.500000,295.679993,289.552490,3030900
2020-07-13,297.859985,298.619995,290.019989,290.179993,284.166504,4853700
2020-07-14,292.000000,299.100006,288.649994,298.950012,292.754822,4795900
2020-07-15,303.000000,306.769989,301.390015,305.720001,299.384552,5257300
2020-07-16,302.970001,303.529999,298.910004,299.350006,293.146484,3312100
2020-07-17,301.730011,305.239990,299.410004,304.059998,297.758881,3169800
2020-07-20,301.920013,314.989990,301.920013,311.959991,305.495178,5279400
2020-07-21,313.000000,314.049988,306.299988,307.600006,301.225525,3562100
2020-07-22,308.130005,313.570007,308.130005,313.369995,306.876007,3303100
2020-07-23,313.549988,317.239990,308.720001,309.899994,303.477875,3118500
2020-07-24,306.480011,310.730011,304.540009,306.920013,300.559631,2500300
2020-07-27,307.059998,310.000000,306.019989,308.859985,302.459412,2311600
2020-07-28,308.500000,310.200012,306.029999,306.329987,299.981842,2116300
2020-07-29,304.500000,311.660004,304.119995,309.299988,302.890259,3542400
2020-07-30,304.000000,312.820007,303.040009,309.000000,302.596497,3941600
2020-07-31,310.000000,310.089996,305.609985,308.529999,302.136261,4684400
2020-08-03,311.000000,313.500000,309.299988,312.589996,306.112122,3907800
2020-08-04,312.500000,315.690002,311.100006,314.390015,307.874878,3409200
2020-08-05,316.369995,329.679993,315.869995,328.000000,321.202789,5677200
2020-08-06,327.399994,331.220001,325.899994,330.140015,323.298431,4839800
2020-08-07,328.000000,328.329987,323.929993,328.019989,321.222351,3662500
2020-08-10,327.190002,329.739990,321.859985,322.880005,316.188873,3752100
2020-08-11,325.000000,334.549988,323.579987,328.540009,321.731567,5273300
2020-08-12,328.660004,331.399994,326.200012,327.630005,320.840393,3125900
2020-08-13,325.929993,329.829987,325.619995,326.190002,319.430298,2526700
2020-08-14,325.670013,327.640015,324.809998,326.799988,320.027679,1444900
2020-08-17,327.000000,331.230011,326.679993,330.230011,323.386658,2904100
2020-08-18,330.200012,331.399994,326.350006,331.000000,324.140594,3021700
